Type,Frame,Angle
Bezier Euler,0,-3.05774
Bezier Euler,1,-3.06034
Bezier Euler,2,-3.05813
Bezier Euler,3,-3.05148
Bezier Euler,4,-3.04073
Bezier Euler,5,-3.02622
Bezier Euler,6,-3.00832
Bezier Euler,7,-2.98737
Bezier Euler,8,-2.96373
Bezier Euler,9,-2.93773
Bezier Euler,10,-2.90974
Bezier Euler,11,-2.88011
Bezier Euler,12,-2.84917
Bezier Euler,13,-2.8173
Bezier Euler,14,-2.78483
Bezier Euler,15,-2.75212
Bezier Euler,16,-2.71951
Bezier Euler,17,-2.68736
Bezier Euler,18,-2.65602
Bezier Euler,19,-2.62584
Bezier Euler,20,-2.59716
Bezier Euler,21,-2.57035
Bezier Euler,22,-2.54217
Bezier Euler,23,-2.50961
Bezier Euler,24,-2.47337
Bezier Euler,25,-2.43413
Bezier Euler,26,-2.39259
Bezier Euler,27,-2.34942
Bezier Euler,28,-2.30532
Bezier Euler,29,-2.26098
Bezier Euler,30,-2.21709
Bezier Euler,31,-2.17432
Bezier Euler,32,-2.13338
Bezier Euler,33,-2.09495
Bezier Euler,34,-2.05971
Bezier Euler,35,-2.02837
Bezier Euler,36,-2.00159
Bezier Euler,37,-1.98008
Bezier Euler,38,-1.96452
Bezier Euler,39,-1.9556
Bezier Euler,40,-1.954
Bezier Euler,41,-1.96042
Bezier Euler,42,-1.97555
Bezier Euler,43,-1.99813
Bezier Euler,44,-2.02635
Bezier Euler,45,-2.06003
Bezier Euler,46,-2.09899
Bezier Euler,47,-2.14305
Bezier Euler,48,-2.19205
Bezier Euler,49,-2.24579
Bezier Euler,50,-2.30411
Bezier Euler,51,-2.36682
Bezier Euler,52,-2.43376
Bezier Euler,53,-2.50474
Bezier Euler,54,-2.57959
Bezier Euler,55,-2.65812
Bezier Euler,56,-2.74017
Bezier Euler,57,-2.82556
Bezier Euler,58,-2.91411
Bezier Euler,59,-3.00564
Bezier Euler,60,-3.09997
Bezier Euler,61,-3.19694
Bezier Euler,62,-3.29636
Bezier Euler,63,-3.39805
Bezier Euler,64,-3.51072
Bezier Euler,65,-3.64155
Bezier Euler,66,-3.78806
Bezier Euler,67,-3.94778
Bezier Euler,68,-4.11825
Bezier Euler,69,-4.297
Bezier Euler,70,-4.48155
Bezier Euler,71,-4.66944
Bezier Euler,72,-4.85819
Bezier Euler,73,-5.04534
Bezier Euler,74,-5.22842
Bezier Euler,75,-5.40496
Bezier Euler,76,-5.57249
Bezier Euler,77,-5.72854
Bezier Euler,78,-5.87064
Bezier Euler,79,-5.99631
Bezier Euler,80,-6.1031
Bezier Euler,81,-6.18853
Bezier Euler,82,-6.25014
Bezier Euler,83,-6.28544
Bezier Euler,84,-6.29198
Bezier Euler,85,-6.27154
Bezier Euler,86,-6.22853
Bezier Euler,87,-6.16437
Bezier Euler,88,-6.08051
Bezier Euler,89,-5.97838
Bezier Euler,90,-5.85943
Bezier Euler,91,-5.72509
Bezier Euler,92,-5.5768
Bezier Euler,93,-5.416
Bezier Euler,94,-5.24412
Bezier Euler,95,-5.06261
Bezier Euler,96,-4.8729
Bezier Euler,97,-4.67644
Bezier Euler,98,-4.47465
Bezier Euler,99,-4.26898
