Type,Frame,Angle
Bezier Quaternion,0,-3.05774
Bezier Quaternion,1,-3.06016
Bezier Quaternion,2,-3.05782
Bezier Quaternion,3,-3.05108
Bezier Quaternion,4,-3.04028
Bezier Quaternion,5,-3.02577
Bezier Quaternion,6,-3.00788
Bezier Quaternion,7,-2.98697
Bezier Quaternion,8,-2.96337
Bezier Quaternion,9,-2.93744
Bezier Quaternion,10,-2.90951
Bezier Quaternion,11,-2.87993
Bezier Quaternion,12,-2.84906
Bezier Quaternion,13,-2.81723
Bezier Quaternion,14,-2.78481
Bezier Quaternion,15,-2.75212
Bezier Quaternion,16,-2.71954
Bezier Quaternion,17,-2.6874
Bezier Quaternion,18,-2.65605
Bezier Quaternion,19,-2.62586
Bezier Quaternion,20,-2.59718
Bezier Quaternion,21,-2.57035
Bezier Quaternion,22,-2.54211
Bezier Quaternion,23,-2.50942
Bezier Quaternion,24,-2.47299
Bezier Quaternion,25,-2.43352
Bezier Quaternion,26,-2.39171
Bezier Quaternion,27,-2.34828
Bezier Quaternion,28,-2.30391
Bezier Quaternion,29,-2.25932
Bezier Quaternion,30,-2.21519
Bezier Quaternion,31,-2.17223
Bezier Quaternion,32,-2.13114
Bezier Quaternion,33,-2.09261
Bezier Quaternion,34,-2.05734
Bezier Quaternion,35,-2.02602
Bezier Quaternion,36,-1.99935
Bezier Quaternion,37,-1.97802
Bezier Quaternion,38,-1.96272
Bezier Quaternion,39,-1.95413
Bezier Quaternion,40,-1.95296
Bezier Quaternion,41,-1.95987
Bezier Quaternion,42,-1.97555
Bezier Quaternion,43,-1.99881
Bezier Quaternion,44,-2.02785
Bezier Quaternion,45,-2.06244
Bezier Quaternion,46,-2.10234
Bezier Quaternion,47,-2.14732
Bezier Quaternion,48,-2.19716
Bezier Quaternion,49,-2.25164
Bezier Quaternion,50,-2.31056
Bezier Quaternion,51,-2.37371
Bezier Quaternion,52,-2.4409
Bezier Quaternion,53,-2.51194
Bezier Quaternion,54,-2.58665
Bezier Quaternion,55,-2.66486
Bezier Quaternion,56,-2.74641
Bezier Quaternion,57,-2.83115
Bezier Quaternion,58,-2.91891
Bezier Quaternion,59,-3.00955
Bezier Quaternion,60,-3.10293
Bezier Quaternion,61,-3.1989
Bezier Quaternion,62,-3.29732
Bezier Quaternion,63,-3.39805
Bezier Quaternion,64,-3.5106
Bezier Quaternion,65,-3.64275
Bezier Quaternion,66,-3.79178
Bezier Quaternion,67,-3.95498
Bezier Quaternion,68,-4.12964
Bezier Quaternion,69,-4.31307
Bezier Quaternion,70,-4.50256
Bezier Quaternion,71,-4.69542
Bezier Quaternion,72,-4.88896
Bezier Quaternion,73,-5.08047
Bezier Quaternion,74,-5.26727
Bezier Quaternion,75,-5.44666
Bezier Quaternion,76,-5.61597
Bezier Quaternion,77,-5.77252
Bezier Quaternion,78,-5.91366
Bezier Quaternion,79,-6.03676
Bezier Quaternion,80,-6.13922
Bezier Quaternion,81,-6.21847
Bezier Quaternion,82,-6.27198
Bezier Quaternion,83,-6.29729
Bezier Quaternion,84,-6.29198
Bezier Quaternion,85,-6.25743
Bezier Quaternion,86,-6.19811
Bezier Quaternion,87,-6.11633
Bezier Quaternion,88,-6.01437
Bezier Quaternion,89,-5.89447
Bezier Quaternion,90,-5.7588
Bezier Quaternion,91,-5.60948
Bezier Quaternion,92,-5.44855
Bezier Quaternion,93,-5.27794
Bezier Quaternion,94,-5.09948
Bezier Quaternion,95,-4.91493
