Type,Frame,Angle
BezierQuaternion,0,-20.3712
BezierQuaternion,1,-20.3321
BezierQuaternion,2,-20.2953
BezierQuaternion,3,-20.2606
BezierQuaternion,4,-20.2281
BezierQuaternion,5,-20.1976
BezierQuaternion,6,-20.1693
BezierQuaternion,7,-20.1431
BezierQuaternion,8,-20.119
BezierQuaternion,9,-20.0969
BezierQuaternion,10,-20.0768
BezierQuaternion,11,-20.0587
BezierQuaternion,12,-20.0426
BezierQuaternion,13,-20.0285
BezierQuaternion,14,-20.0163
BezierQuaternion,15,-20.006
BezierQuaternion,16,-19.9976
BezierQuaternion,17,-19.9911
BezierQuaternion,18,-19.9864
BezierQuaternion,19,-19.9836
BezierQuaternion,20,-19.9826
BezierQuaternion,21,-19.9833
BezierQuaternion,22,-19.9733
BezierQuaternion,23,-19.9426
BezierQuaternion,24,-19.8949
BezierQuaternion,25,-19.8339
BezierQuaternion,26,-19.7636
BezierQuaternion,27,-19.6875
BezierQuaternion,28,-19.6096
BezierQuaternion,29,-19.5335
BezierQuaternion,30,-19.463
BezierQuaternion,31,-19.4019
BezierQuaternion,32,-19.3541
BezierQuaternion,33,-19.3233
BezierQuaternion,34,-19.3134
BezierQuaternion,35,-19.3281
BezierQuaternion,36,-19.3712
BezierQuaternion,37,-19.4465
BezierQuaternion,38,-19.5579
BezierQuaternion,39,-19.709
BezierQuaternion,40,-19.9036
BezierQuaternion,41,-20.1454
BezierQuaternion,42,-20.438
BezierQuaternion,43,-20.7938
BezierQuaternion,44,-21.2179
BezierQuaternion,45,-21.7038
BezierQuaternion,46,-22.2445
BezierQuaternion,47,-22.8335
BezierQuaternion,48,-23.4641
BezierQuaternion,49,-24.1299
BezierQuaternion,50,-24.8241
BezierQuaternion,51,-25.5404
BezierQuaternion,52,-26.272
BezierQuaternion,53,-27.0124
BezierQuaternion,54,-27.7546
BezierQuaternion,55,-28.492
BezierQuaternion,56,-29.2173
BezierQuaternion,57,-29.9235
BezierQuaternion,58,-30.6031
BezierQuaternion,59,-31.2488
BezierQuaternion,60,-31.8529
BezierQuaternion,61,-32.4078
BezierQuaternion,62,-32.906
BezierQuaternion,63,-33.3399
BezierQuaternion,64,-33.7378
BezierQuaternion,65,-34.131
BezierQuaternion,66,-34.5168
BezierQuaternion,67,-34.8927
BezierQuaternion,68,-35.2564
BezierQuaternion,69,-35.6056
BezierQuaternion,70,-35.9379
BezierQuaternion,71,-36.251
BezierQuaternion,72,-36.5426
BezierQuaternion,73,-36.8104
BezierQuaternion,74,-37.0517
BezierQuaternion,75,-37.2639
BezierQuaternion,76,-37.4445
BezierQuaternion,77,-37.5904
BezierQuaternion,78,-37.6986
BezierQuaternion,79,-37.766
BezierQuaternion,80,-37.7893
BezierQuaternion,81,-37.765
BezierQuaternion,82,-37.6895
BezierQuaternion,83,-37.5589
BezierQuaternion,84,-37.3696
BezierQuaternion,85,-37.117
BezierQuaternion,86,-36.8022
BezierQuaternion,87,-36.4287
BezierQuaternion,88,-36.0004
BezierQuaternion,89,-35.5206
BezierQuaternion,90,-34.9928
BezierQuaternion,91,-34.4203
BezierQuaternion,92,-33.8062
BezierQuaternion,93,-33.1538
BezierQuaternion,94,-32.4664
BezierQuaternion,95,-31.7471
BezierQuaternion,96,-30.9994
BezierQuaternion,97,-30.2268
BezierQuaternion,98,-29.4329
BezierQuaternion,99,-28.6216
BezierQuaternion,100,-27.7969
BezierQuaternion,101,-26.9632
BezierQuaternion,102,-26.125
BezierQuaternion,103,-25.2869
BezierQuaternion,104,-24.454
BezierQuaternion,105,-23.6313
BezierQuaternion,106,-22.7695
BezierQuaternion,107,-21.8242
BezierQuaternion,108,-20.8083
BezierQuaternion,109,-19.7347
BezierQuaternion,110,-18.6161
BezierQuaternion,111,-17.4652
BezierQuaternion,112,-16.2944
BezierQuaternion,113,-15.1158
BezierQuaternion,114,-13.9412
BezierQuaternion,115,-12.7823
BezierQuaternion,116,-11.6504
BezierQuaternion,117,-10.5566
BezierQuaternion,118,-9.51173
BezierQuaternion,119,-8.52662
BezierQuaternion,120,-7.61185
BezierQuaternion,121,-6.77799
BezierQuaternion,122,-6.03559
BezierQuaternion,123,-5.39523
BezierQuaternion,124,-4.86755
BezierQuaternion,125,-4.46326
BezierQuaternion,126,-4.1932
BezierQuaternion,127,-4.05913
BezierQuaternion,128,-4.04921
BezierQuaternion,129,-4.15391
BezierQuaternion,130,-4.36375
BezierQuaternion,131,-4.66926
BezierQuaternion,132,-5.06102
BezierQuaternion,133,-5.5296
BezierQuaternion,134,-6.06559
BezierQuaternion,135,-6.6596
BezierQuaternion,136,-7.30222
BezierQuaternion,137,-7.98404
BezierQuaternion,138,-8.69567
BezierQuaternion,139,-9.42769
BezierQuaternion,140,-10.1707
BezierQuaternion,141,-10.9152
BezierQuaternion,142,-11.6518
BezierQuaternion,143,-12.3711
BezierQuaternion,144,-13.0635
BezierQuaternion,145,-13.7195
BezierQuaternion,146,-14.3295
BezierQuaternion,147,-14.884
BezierQuaternion,148,-15.4571
BezierQuaternion,149,-16.121
BezierQuaternion,150,-16.8633
BezierQuaternion,151,-17.6716
BezierQuaternion,152,-18.533
BezierQuaternion,153,-19.4344
BezierQuaternion,154,-20.362
BezierQuaternion,155,-21.3013
BezierQuaternion,156,-22.2368
BezierQuaternion,157,-23.152
BezierQuaternion,158,-24.0295
BezierQuaternion,159,-24.8506
BezierQuaternion,160,-25.5958
BezierQuaternion,161,-26.2451
BezierQuaternion,162,-26.7776
BezierQuaternion,163,-27.1728
BezierQuaternion,164,-27.4104
BezierQuaternion,165,-27.4714
BezierQuaternion,166,-27.3384
BezierQuaternion,167,-26.9968
BezierQuaternion,168,-26.4349
BezierQuaternion,169,-25.6107
BezierQuaternion,170,-24.52
BezierQuaternion,171,-23.2125
BezierQuaternion,172,-21.7373
