Type,Frame,Angle
LinearInterpolationEuler,0,-3.05774
LinearInterpolationEuler,1,-3.03453
LinearInterpolationEuler,2,-3.01132
LinearInterpolationEuler,3,-2.98811
LinearInterpolationEuler,4,-2.9649
LinearInterpolationEuler,5,-2.94169
LinearInterpolationEuler,6,-2.91849
LinearInterpolationEuler,7,-2.89528
LinearInterpolationEuler,8,-2.87207
LinearInterpolationEuler,9,-2.84886
LinearInterpolationEuler,10,-2.82565
LinearInterpolationEuler,11,-2.80244
LinearInterpolationEuler,12,-2.77923
LinearInterpolationEuler,13,-2.75602
LinearInterpolationEuler,14,-2.73281
LinearInterpolationEuler,15,-2.7096
LinearInterpolationEuler,16,-2.6864
LinearInterpolationEuler,17,-2.66319
LinearInterpolationEuler,18,-2.63998
LinearInterpolationEuler,19,-2.61677
LinearInterpolationEuler,20,-2.59356
LinearInterpolationEuler,21,-2.57035
LinearInterpolationEuler,22,-2.54203
LinearInterpolationEuler,23,-2.5137
LinearInterpolationEuler,24,-2.48538
LinearInterpolationEuler,25,-2.45705
LinearInterpolationEuler,26,-2.42873
LinearInterpolationEuler,27,-2.40041
LinearInterpolationEuler,28,-2.37208
LinearInterpolationEuler,29,-2.34376
LinearInterpolationEuler,30,-2.31544
LinearInterpolationEuler,31,-2.28711
LinearInterpolationEuler,32,-2.25879
LinearInterpolationEuler,33,-2.23046
LinearInterpolationEuler,34,-2.20214
LinearInterpolationEuler,35,-2.17382
LinearInterpolationEuler,36,-2.14549
LinearInterpolationEuler,37,-2.11717
LinearInterpolationEuler,38,-2.08885
LinearInterpolationEuler,39,-2.06052
LinearInterpolationEuler,40,-2.0322
LinearInterpolationEuler,41,-2.00387
LinearInterpolationEuler,42,-1.97555
LinearInterpolationEuler,43,-2.04329
LinearInterpolationEuler,44,-2.11103
LinearInterpolationEuler,45,-2.17876
LinearInterpolationEuler,46,-2.2465
LinearInterpolationEuler,47,-2.31424
LinearInterpolationEuler,48,-2.38198
LinearInterpolationEuler,49,-2.44972
LinearInterpolationEuler,50,-2.51745
LinearInterpolationEuler,51,-2.58519
LinearInterpolationEuler,52,-2.65293
LinearInterpolationEuler,53,-2.72067
LinearInterpolationEuler,54,-2.78841
LinearInterpolationEuler,55,-2.85615
LinearInterpolationEuler,56,-2.92388
LinearInterpolationEuler,57,-2.99162
LinearInterpolationEuler,58,-3.05936
LinearInterpolationEuler,59,-3.1271
LinearInterpolationEuler,60,-3.19484
LinearInterpolationEuler,61,-3.26257
LinearInterpolationEuler,62,-3.33031
LinearInterpolationEuler,63,-3.39805
LinearInterpolationEuler,64,-3.53586
LinearInterpolationEuler,65,-3.67366
LinearInterpolationEuler,66,-3.81147
LinearInterpolationEuler,67,-3.94927
LinearInterpolationEuler,68,-4.08708
LinearInterpolationEuler,69,-4.22489
LinearInterpolationEuler,70,-4.36269
LinearInterpolationEuler,71,-4.5005
LinearInterpolationEuler,72,-4.63831
LinearInterpolationEuler,73,-4.77611
LinearInterpolationEuler,74,-4.91392
LinearInterpolationEuler,75,-5.05172
LinearInterpolationEuler,76,-5.18953
LinearInterpolationEuler,77,-5.32734
LinearInterpolationEuler,78,-5.46514
LinearInterpolationEuler,79,-5.60295
LinearInterpolationEuler,80,-5.74076
LinearInterpolationEuler,81,-5.87856
LinearInterpolationEuler,82,-6.01637
LinearInterpolationEuler,83,-6.15417
LinearInterpolationEuler,84,-6.29198
LinearInterpolationEuler,85,-6.13684
LinearInterpolationEuler,86,-5.98169
LinearInterpolationEuler,87,-5.82655
LinearInterpolationEuler,88,-5.67141
LinearInterpolationEuler,89,-5.51626
LinearInterpolationEuler,90,-5.36112
LinearInterpolationEuler,91,-5.20598
LinearInterpolationEuler,92,-5.05083
LinearInterpolationEuler,93,-4.89569
LinearInterpolationEuler,94,-4.74055
LinearInterpolationEuler,95,-4.5854
LinearInterpolationEuler,96,-4.43026
LinearInterpolationEuler,97,-4.27512
LinearInterpolationEuler,98,-4.11997
LinearInterpolationEuler,99,-3.96483
LinearInterpolationEuler,100,-3.80969
LinearInterpolationEuler,101,-3.65454
LinearInterpolationEuler,102,-3.4994
LinearInterpolationEuler,103,-3.34426
LinearInterpolationEuler,104,-3.18911
LinearInterpolationEuler,105,-3.03397
LinearInterpolationEuler,106,-2.7973
