Type,Frame,Angle
LinearQuaternion,0,-20.3712
LinearQuaternion,1,-20.3527
LinearQuaternion,2,-20.3342
LinearQuaternion,3,-20.3157
LinearQuaternion,4,-20.2971
LinearQuaternion,5,-20.2786
LinearQuaternion,6,-20.2601
LinearQuaternion,7,-20.2417
LinearQuaternion,8,-20.2232
LinearQuaternion,9,-20.2047
LinearQuaternion,10,-20.1862
LinearQuaternion,11,-20.1677
LinearQuaternion,12,-20.1493
LinearQuaternion,13,-20.1308
LinearQuaternion,14,-20.1124
LinearQuaternion,15,-20.0939
LinearQuaternion,16,-20.0755
LinearQuaternion,17,-20.057
LinearQuaternion,18,-20.0386
LinearQuaternion,19,-20.0201
LinearQuaternion,20,-20.0017
LinearQuaternion,21,-19.9833
LinearQuaternion,22,-20.005
LinearQuaternion,23,-20.0266
LinearQuaternion,24,-20.0483
LinearQuaternion,25,-20.0699
LinearQuaternion,26,-20.0916
LinearQuaternion,27,-20.1132
LinearQuaternion,28,-20.1349
LinearQuaternion,29,-20.1565
LinearQuaternion,30,-20.1782
LinearQuaternion,31,-20.1999
LinearQuaternion,32,-20.2215
LinearQuaternion,33,-20.2432
LinearQuaternion,34,-20.2648
LinearQuaternion,35,-20.2865
LinearQuaternion,36,-20.3081
LinearQuaternion,37,-20.3298
LinearQuaternion,38,-20.3514
LinearQuaternion,39,-20.3731
LinearQuaternion,40,-20.3947
LinearQuaternion,41,-20.4164
LinearQuaternion,42,-20.438
LinearQuaternion,43,-21.0542
LinearQuaternion,44,-21.6694
LinearQuaternion,45,-22.2836
LinearQuaternion,46,-22.897
LinearQuaternion,47,-23.5097
LinearQuaternion,48,-24.122
LinearQuaternion,49,-24.7338
LinearQuaternion,50,-25.3453
LinearQuaternion,51,-25.9568
LinearQuaternion,52,-26.5683
LinearQuaternion,53,-27.18
LinearQuaternion,54,-27.792
LinearQuaternion,55,-28.4045
LinearQuaternion,56,-29.0177
LinearQuaternion,57,-29.6316
LinearQuaternion,58,-30.2464
LinearQuaternion,59,-30.8623
LinearQuaternion,60,-31.4795
LinearQuaternion,61,-32.098
LinearQuaternion,62,-32.7181
LinearQuaternion,63,-33.3399
LinearQuaternion,64,-33.515
LinearQuaternion,65,-33.6918
LinearQuaternion,66,-33.8704
LinearQuaternion,67,-34.0506
LinearQuaternion,68,-34.2325
LinearQuaternion,69,-34.4162
LinearQuaternion,70,-34.6015
LinearQuaternion,71,-34.7885
LinearQuaternion,72,-34.9772
LinearQuaternion,73,-35.1675
LinearQuaternion,74,-35.3595
LinearQuaternion,75,-35.5532
LinearQuaternion,76,-35.7485
LinearQuaternion,77,-35.9454
LinearQuaternion,78,-36.144
LinearQuaternion,79,-36.3442
LinearQuaternion,80,-36.5461
LinearQuaternion,81,-36.7495
LinearQuaternion,82,-36.9546
