Type,Frame,Angle
Original,0,-3.05774
Original,1,-3.06034
Original,2,-3.05813
Original,3,-3.05148
Original,4,-3.04073
Original,5,-3.02622
Original,6,-3.00832
Original,7,-2.98737
Original,8,-2.96373
Original,9,-2.93773
Original,10,-2.90974
Original,11,-2.88011
Original,12,-2.84917
Original,13,-2.8173
Original,14,-2.78483
Original,15,-2.75212
Original,16,-2.71951
Original,17,-2.68736
Original,18,-2.65602
Original,19,-2.62584
Original,20,-2.59716
Original,21,-2.57035
Original,22,-2.54217
Original,23,-2.50961
Original,24,-2.47337
Original,25,-2.43413
Original,26,-2.39259
Original,27,-2.34942
Original,28,-2.30532
Original,29,-2.26098
Original,30,-2.21709
Original,31,-2.17432
Original,32,-2.13338
Original,33,-2.09495
Original,34,-2.05971
Original,35,-2.02837
Original,36,-2.00159
Original,37,-1.98008
Original,38,-1.96452
Original,39,-1.9556
Original,40,-1.954
Original,41,-1.96042
Original,42,-1.97555
Original,43,-1.99813
Original,44,-2.02635
Original,45,-2.06003
Original,46,-2.09899
Original,47,-2.14305
Original,48,-2.19205
Original,49,-2.24579
Original,50,-2.30411
Original,51,-2.36682
Original,52,-2.43376
Original,53,-2.50474
Original,54,-2.57959
Original,55,-2.65812
Original,56,-2.74017
Original,57,-2.82556
Original,58,-2.91411
Original,59,-3.00564
Original,60,-3.09997
Original,61,-3.19694
Original,62,-3.29636
Original,63,-3.39805
Original,64,-3.51072
Original,65,-3.64155
Original,66,-3.78806
Original,67,-3.94778
Original,68,-4.11825
Original,69,-4.297
Original,70,-4.48155
Original,71,-4.66944
Original,72,-4.85819
Original,73,-5.04534
Original,74,-5.22842
Original,75,-5.40496
Original,76,-5.57249
Original,77,-5.72854
Original,78,-5.87064
Original,79,-5.99631
Original,80,-6.1031
Original,81,-6.18853
Original,82,-6.25014
Original,83,-6.28544
Original,84,-6.29198
Original,85,-6.27154
Original,86,-6.22853
Original,87,-6.16437
Original,88,-6.08051
Original,89,-5.97838
Original,90,-5.85943
Original,91,-5.72509
Original,92,-5.5768
Original,93,-5.416
Original,94,-5.24412
Original,95,-5.06261
Original,96,-4.8729
Original,97,-4.67644
Original,98,-4.47465
Original,99,-4.26898
Original,100,-4.06086
Original,101,-3.85174
Original,102,-3.64306
Original,103,-3.43624
Original,104,-3.23273
Original,105,-3.03397
Original,106,-2.82936
Original,107,-2.60868
Original,108,-2.37398
Original,109,-2.12728
Original,110,-1.87061
Original,111,-1.606
Original,112,-1.33548
Original,113,-1.06107
Original,114,-0.78481
Original,115,-0.508727
Original,116,-0.234849
Original,117,0.0347934
Original,118,0.298172
Original,119,0.553257
Original,120,0.79802
Original,121,1.03043
Original,122,1.24846
Original,123,1.45008
Original,124,1.63326
Original,125,1.79597
Original,126,1.93618
Original,127,2.05585
Original,128,2.15899
Original,129,2.24663
Original,130,2.3198
Original,131,2.37954
Original,132,2.42689
Original,133,2.46288
Original,134,2.48854
Original,135,2.50492
Original,136,2.51305
Original,137,2.51397
Original,138,2.5087
Original,139,2.49829
Original,140,2.48376
Original,141,2.46617
Original,142,2.44653
Original,143,2.4259
Original,144,2.4053
Original,145,2.38576
Original,146,2.36833
Original,147,2.35404
Original,148,2.33431
Original,149,2.30105
Original,150,2.25598
Original,151,2.20087
Original,152,2.13745
Original,153,2.06747
Original,154,1.99267
Original,155,1.91479
Original,156,1.83559
Original,157,1.7568
Original,158,1.68017
Original,159,1.60745
Original,160,1.54037
Original,161,1.48068
Original,162,1.43014
Original,163,1.39047
Original,164,1.36343
Original,165,1.35076
Original,166,1.3542
Original,167,1.3755
Original,168,1.41641
Original,169,1.47966
Original,170,1.56536
Original,171,1.67129
Original,172,1.79523
Original,173,1.93496
Original,174,2.08826
Original,175,2.25292
Original,176,2.42672
Original,177,2.60743
Original,178,2.79285
Original,179,2.98074
Original,180,3.1689
Original,181,3.35511
Original,182,3.53714
Original,183,3.71278
Original,184,3.87981
Original,185,4.03601
Original,186,4.17916
Original,187,4.30705
Original,188,4.41745
Original,189,4.50815
Original,190,4.59427
Original,191,4.69056
Original,192,4.79427
Original,193,4.90263
Original,194,5.01289
Original,195,5.12228
Original,196,5.22803
Original,197,5.3274
Original,198,5.41761
Original,199,5.4959
Original,200,5.55952
Original,201,5.6057
Original,202,5.63168
Original,203,5.6347
Original,204,5.612
Original,205,5.56082
Original,206,5.47839
Original,207,5.36196
Original,208,5.20875
Original,209,5.01602
Original,210,4.781
Original,211,4.48089
Original,212,4.10076
Original,213,3.64966
Original,214,3.13665
Original,215,2.57076
Original,216,1.96106
Original,217,1.31658
Original,218,0.646381
Original,219,-0.0404906
Original,220,-0.734985
Original,221,-1.42805
Original,222,-2.11065
Original,223,-2.77372
Original,224,-3.40822
Original,225,-4.00509
Original,226,-4.5553
Original,227,-5.04978
Original,228,-5.4795
Original,229,-5.83539
Original,230,-6.10842
Original,231,-6.28953
Original,232,-6.40297
Original,233,-6.47901
Original,234,-6.5176
Original,235,-6.51871
Original,236,-6.48231
Original,237,-6.40835
Original,238,-6.29681
Original,239,-6.14764
Original,240,-5.96082
Original,241,-5.73631
Original,242,-5.47406
Original,243,-5.17405
Original,244,-4.83625
Original,245,-4.4606
Original,246,-4.04709
Original,247,-3.59566
Original,248,-3.1063
Original,249,-2.57895
Original,250,-2.0136
Original,251,-1.41019
Original,252,-0.768699
Original,253,-0.0664569
Original,254,0.714625
Original,255,1.56772
Original,256,2.486
Original,257,3.46263
Original,258,4.49079
Original,259,5.56365
Original,260,6.67439
Original,261,7.81616
Original,262,8.98215
Original,263,10.1655
Original,264,11.3595
Original,265,12.5571
Original,266,13.7517
Original,267,14.9363
Original,268,16.1042
Original,269,17.2485
Original,270,18.3624
Original,271,19.4391
Original,272,20.4717
Original,273,21.4534
Original,274,22.4472
Original,275,23.5117
Original,276,24.6335
Original,277,25.7991
Original,278,26.9951
Original,279,28.208
Original,280,29.4245
Original,281,30.631
Original,282,31.8141
Original,283,32.9605
Original,284,34.0566
Original,285,35.0891
Original,286,36.0444
Original,287,36.9092
Original,288,37.6699
Original,289,38.3133
Original,290,38.8258
Original,291,39.194
Original,292,39.4044
Original,293,39.4437
Original,294,39.2983
Original,295,38.93
Original,296,38.3243
Original,297,37.5034
Original,298,36.4895
Original,299,35.3049
Original,300,33.9719
Original,301,32.5126
Original,302,30.9493
Original,303,29.3042
Original,304,27.5997
Original,305,25.8579
Original,306,24.101
Original,307,22.3514
Original,308,20.6313
Original,309,18.9628
Original,310,17.3683
Original,311,15.8699
Original,312,14.49
Original,313,13.2508
Original,314,12.1744
Original,315,11.2832
Original,316,10.5468
Original,317,9.91418
Original,318,9.37671
Original,319,8.92568
Original,320,8.5524
Original,321,8.24819
Original,322,8.00437
Original,323,7.81225
Original,324,7.66314
Original,325,7.54836
Original,326,7.45921
Original,327,7.38703
Original,328,7.32311
Original,329,7.25878
Original,330,7.18534
Original,331,7.09412
Original,332,6.97642
Original,333,6.82356
Original,334,6.62686
Original,335,6.37762
Original,336,6.06717
Original,337,5.70832
Original,338,5.32174
Original,339,4.91055
Original,340,4.47784
Original,341,4.02672
Original,342,3.56029
