Type,Frame,Angle
original,0,-20.3712
original,1,-19.8931
original,2,-19.9526
original,3,-19.9756
original,4,-19.998
original,5,-20.01
original,6,-20.0318
original,7,-20.0366
original,8,-20.034
original,9,-20.0257
original,10,-20.0153
original,11,-20.0058
original,12,-20.0006
original,13,-20.0009
original,14,-20.0056
original,15,-20.0125
original,16,-20.0183
original,17,-20.02
original,18,-20.016
original,19,-20.0069
original,20,-19.9949
original,21,-19.9833
original,22,-19.9754
original,23,-19.9734
original,24,-19.978
original,25,-19.9891
original,26,-20.005
original,27,-20.0241
original,28,-20.0441
original,29,-20.0631
original,30,-20.0794
original,31,-20.0916
original,32,-20.0993
original,33,-20.1023
original,34,-20.102
original,35,-20.1012
original,36,-20.1041
original,37,-20.1154
original,38,-20.1394
original,39,-20.1805
original,40,-20.2421
original,41,-20.3268
original,42,-20.438
original,43,-20.5794
original,44,-20.7562
original,45,-20.9746
original,46,-21.242
original,47,-21.5665
original,48,-21.9549
original,49,-22.4128
original,50,-22.9434
original,51,-23.5463
original,52,-24.2177
original,53,-24.9511
original,54,-25.7374
original,55,-26.5654
original,56,-27.4227
original,57,-28.2975
original,58,-29.1782
original,59,-30.0545
original,60,-30.9172
original,61,-31.7573
original,62,-32.5672
original,63,-33.3399
original,64,-34.0689
original,65,-34.7498
original,66,-35.3785
original,67,-36.028
original,68,-36.716
original,69,-37.4801
original,70,-38.3353
original,71,-39.2532
original,72,-40.1603
original,73,-40.9532
original,74,-41.5266
original,75,-41.808
original,76,-41.6928
original,77,-41.2921
original,78,-40.6825
original,79,-39.9712
original,80,-39.2669
original,81,-38.6442
original,82,-38.1326
original,83,-37.7199
original,84,-37.3696
original,85,-37.0647
original,86,-36.7331
original,87,-36.378
original,88,-36.0014
original,89,-35.6027
original,90,-35.1801
original,91,-34.7279
original,92,-34.2396
original,93,-33.7083
original,94,-33.1281
original,95,-32.4955
original,96,-31.8094
original,97,-31.0693
original,98,-30.2755
original,99,-29.4298
original,100,-28.5358
original,101,-27.5991
original,102,-26.6291
original,103,-25.6374
original,104,-24.6351
original,105,-23.6313
original,106,-22.6317
original,107,-21.6348
original,108,-20.6329
original,109,-19.6136
original,110,-18.5623
original,111,-17.4648
original,112,-16.2594
original,113,-14.991
original,114,-13.6235
original,115,-12.2543
original,116,-10.8685
original,117,-9.57263
original,118,-8.4358
original,119,-7.43216
original,120,-6.60537
original,121,-5.93263
original,122,-5.42122
original,123,-4.96951
original,124,-4.63215
original,125,-4.38193
original,126,-4.1932
original,127,-4.04444
original,128,-3.91887
original,129,-3.80846
original,130,-3.71946
original,131,-3.67297
original,132,-3.70186
original,133,-3.84397
original,134,-4.13555
original,135,-4.60106
original,136,-5.24608
original,137,-6.05405
original,138,-6.98791
original,139,-7.99638
original,140,-9.02603
original,141,-10.0323
original,142,-10.9879
original,143,-11.8814
original,144,-12.7129
original,145,-13.4881
original,146,-14.2119
original,147,-14.884
original,148,-15.5019
original,149,-16.0634
original,150,-16.5721
original,151,-17.0423
original,152,-17.4997
original,153,-17.9794
original,154,-18.5153
original,155,-19.1326
original,156,-19.8416
original,157,-20.6335
original,158,-21.4824
original,159,-22.3525
original,160,-23.2031
original,161,-23.995
original,162,-24.6979
original,163,-25.2913
original,164,-25.7647
original,165,-26.114
original,166,-26.3406
original,167,-26.4473
original,168,-26.4349
original,169,-26.3005
original,170,-26.0373
original,171,-25.6301
original,172,-25.0606
original,173,-24.3093
original,174,-23.3607
original,175,-22.207
original,176,-20.8532
original,177,-19.3192
original,178,-17.6361
original,179,-15.8409
original,180,-13.9707
original,181,-12.0597
original,182,-10.1363
original,183,-8.2262
original,184,-6.35389
original,185,-4.54551
original,186,-2.8292
original,187,-1.2352
original,188,0.207298
original,189,1.47122
original,190,2.55035
original,191,3.45312
original,192,4.2023
original,193,4.82645
original,194,5.35255
original,195,5.80143
original,196,6.18877
original,197,6.52641
original,198,6.82419
original,199,7.08743
original,200,7.31948
original,201,7.51681
original,202,7.67024
original,203,7.76387
original,204,7.77373
original,205,7.67108
original,206,7.42444
original,207,7.00741
original,208,6.40854
original,209,5.62906
original,210,4.68749
original,211,3.60755
original,212,2.41425
original,213,1.1303
original,214,-0.214624
original,215,-1.60913
original,216,-3.04991
original,217,-4.54399
original,218,-6.10447
original,219,-7.75281
original,220,-9.512
original,221,-11.404
original,222,-13.4467
original,223,-15.6485
original,224,-18.0071
original,225,-20.5097
original,226,-23.1294
original,227,-25.827
original,228,-28.5518
original,229,-31.2414
original,230,-33.8219
original,231,-36.2135
original,232,-38.3356
original,233,-40.118
original,234,-41.5098
original,235,-42.4899
original,236,-43.0714
original,237,-43.2989
original,238,-43.2429
original,239,-42.9882
original,240,-42.6148
original,241,-42.1871
original,242,-41.744
original,243,-41.2979
original,244,-40.8391
original,245,-40.3441
original,246,-39.7934
original,247,-39.1673
original,248,-38.4572
original,249,-37.6644
original,250,-36.798
original,251,-35.8723
original,252,-34.905
original,253,-33.9162
original,254,-32.9292
original,255,-31.9602
original,256,-31.0371
original,257,-30.1777
original,258,-29.3955
original,259,-28.6958
original,260,-28.0769
original,261,-27.531
original,262,-27.0457
original,263,-26.6086
original,264,-26.2128
original,265,-25.8506
original,266,-25.523
original,267,-25.233
original,268,-24.9827
original,269,-24.7687
original,270,-24.5811
original,271,-24.4032
original,272,-24.212
original,273,-23.9806
original,274,-23.683
original,275,-23.2988
original,276,-22.8143
original,277,-22.2267
original,278,-21.5436
original,279,-20.7818
original,280,-19.9642
original,281,-19.1178
original,282,-18.2714
original,283,-17.4534
original,284,-16.6905
original,285,-16.0069
original,286,-15.422
original,287,-14.9497
original,288,-14.5963
original,289,-14.3607
original,290,-14.2354
original,291,-14.2065
original,292,-14.2566
original,293,-14.366
original,294,-14.5156
original,295,-14.6874
original,296,-14.8666
original,297,-15.0419
original,298,-15.2064
original,299,-15.3547
original,300,-15.4877
original,301,-15.6087
original,302,-15.7249
original,303,-15.846
original,304,-15.983
original,305,-16.1448
original,306,-16.3346
original,307,-16.5467
original,308,-16.7654
original,309,-16.9631
original,310,-17.107
original,311,-17.1631
original,312,-17.1033
original,313,-16.9135
original,314,-16.5947
original,315,-16.1644
original,316,-15.6487
original,317,-15.0754
original,318,-14.4692
original,319,-13.8465
original,320,-13.2302
original,321,-12.6403
original,322,-12.099
original,323,-11.6927
original,324,-11.4512
original,325,-11.4075
original,326,-11.5626
original,327,-11.879
original,328,-12.287
original,329,-12.6834
original,330,-12.9705
original,331,-13.0881
original,332,-12.9672
original,333,-12.6446
original,334,-12.1521
original,335,-11.5366
original,336,-10.8436
original,337,-10.1091
original,338,-9.36632
original,339,-8.64165
original,340,-7.94588
original,341,-7.30604
original,342,-6.74748
original,343,-6.2926
original,344,-5.9456
original,345,-5.72399
original,346,-5.63653
original,347,-5.69393
original,348,-5.91172
original,349,-6.30837
original,350,-6.91857
original,351,-7.75576
original,352,-8.8204
original,353,-10.11
original,354,-11.5833
original,355,-13.2137
original,356,-14.9724
original,357,-16.8356
original,358,-18.7881
original,359,-20.8115
original,360,-22.906
original,361,-25.0663
original,362,-27.2782
original,363,-29.5192
original,364,-31.7571
